rank,experiment_id,embedding_model,classifier_type,overlap_proportion,param_details,val_f1,val_precision,val_recall,val_accuracy,runtime_sec,status
35,1,microsoft/codebert-base,random_forest_classifier,0.25,"n_estimators=100, max_depth=None, min_samples_leaf=1",0.9278,0.9574,0.9000,0.9533,40.72,success
36,54,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.0005, batch_size=32, epochs=50",0.9259,0.8621,1.0000,0.9467,19.44,success
37,58,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.0005, batch_size=64, epochs=50",0.9259,0.8621,1.0000,0.9467,18.97,success
38,5,Qwen/Qwen2.5-7B-Instruct,random_forest_classifier,0.25,"n_estimators=100, max_depth=None, min_samples_leaf=1",0.9231,0.8889,0.9600,0.9467,4772.00,success
39,9,Qwen/Qwen2.5-7B-Instruct,random_forest_classifier,0.5,"n_estimators=100, max_depth=None, min_samples_leaf=1",0.9200,0.9200,0.9200,0.9467,5998.65,success
40,8,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.001, batch_size=32, epochs=100",0.9174,0.8475,1.0000,0.9400,20.99,success
41,39,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.0001, batch_size=16, epochs=100",0.9174,0.8475,1.0000,0.9400,22.28,success
42,40,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.0001, batch_size=16, epochs=200",0.9174,0.8475,1.0000,0.9400,25.69,success
43,41,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.0001, batch_size=16, epochs=500",0.9174,0.8475,1.0000,0.9400,36.77,success
44,42,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.0001, batch_size=32, epochs=50",0.9174,0.8475,1.0000,0.9400,19.62,success
45,43,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.0001, batch_size=32, epochs=100",0.9174,0.8475,1.0000,0.9400,20.59,success
46,44,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.0001, batch_size=32, epochs=200",0.9174,0.8475,1.0000,0.9400,22.31,success
47,45,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.0001, batch_size=32, epochs=500",0.9174,0.8475,1.0000,0.9400,27.62,success
48,48,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.0001, batch_size=64, epochs=200",0.9174,0.8475,1.0000,0.9400,20.45,success
49,49,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.0001, batch_size=64, epochs=500",0.9174,0.8475,1.0000,0.9400,23.04,success
50,50,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.0005, batch_size=16, epochs=50",0.9174,0.8475,1.0000,0.9400,20.42,success
51,51,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.0005, batch_size=16, epochs=100",0.9174,0.8475,1.0000,0.9400,22.26,success
52,52,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.125,"learning_rate=0.0005, batch_size=16, epochs=200",0.9174,0.8475,1.0000,0.9400,25.95,success
