rank,experiment_id,embedding_model,classifier_type,overlap_proportion,param_details,val_f1,val_precision,val_recall,val_accuracy,runtime_sec
1,12,Qwen/Qwen2.5-7B-Instruct,random_forest_classifier,0.125,"n_estimators=100, max_depth=10, min_samples_leaf=2",0.9592,0.9792,0.9400,0.9733,32.70
2,6,Qwen/Qwen2.5-7B-Instruct,neural_network_binary_classifier,0.25,"learning_rate=0.001, batch_size=32, epochs=100",0.9423,0.9074,0.9800,0.9600,23.27
